track,slice,x,y
3,25,1177,745
3,28,1185,746
3,31,1194,750
3,34,1200,752
3,37,1204,753
3,40,1208,754
3,43,1214,756
3,46,1218,760
3,49,1221,761
3,52,1228,765
3,55,1234,768
3,58,1237,767
3,61,1240,771
3,64,1244,774
3,67,1250,779
3,70,1254,784
3,73,1256,788
3,76,1263,794
3,79,1270,800
3,82,1273,804
3,85,1275,808
3,88,1277,812
3,91,1280,818
3,94,1281,820
3,97,1284,819
3,100,1287,823
3,103,1288,822
3,106,1289,821
3,109,1291,823
3,112,1293,824
3,115,1294,822
3,118,1297,822
3,121,1297,820
3,124,1296,817
3,127,1297,817
3,130,1293,817
3,133,1288,819
3,136,1292,819
3,139,1292,819
3,142,1290,817
3,145,1290,816
3,148,1287,818
3,151,1281,816
3,154,1275,818
3,157,1273,816
3,160,1268,814
3,163,1264,812
3,166,1261,811
3,169,1258,808
3,172,1257,805
3,175,1254,803
3,178,1251,801
3,181,1250,799
3,184,1250,801
3,187,1255,804
3,190,1257,808
3,193,1254,813
3,196,1253,805
3,199,1251,801
3,202,1247,798
3,205,1242,800
3,208,1241,800
3,211,1239,798
3,214,1235,793
3,217,1233,787
3,220,1231,784
3,223,1229,782
3,226,1226,776
3,229,1225,773
3,232,1221,770
3,235,1219,767
3,238,1213,765
3,241,1208,763
3,244,1207,762
3,247,1203,761
3,250,1197,760
3,253,1190,757
3,256,1184,754
3,259,1180,750
3,262,1173,744
3,265,1167,739
3,268,1164,737
3,271,1159,735
3,274,1154,733
3,277,1150,729
3,280,1143,724
3,283,1136,719
3,286,1135,715
3,289,1134,713
3,292,1132,712
3,295,1135,713
3,298,1148,715
3,301,1152,723
3,304,1158,726
3,307,1162,728
3,310,1165,727
3,313,1165,727
3,316,1171,731
3,319,1175,735
3,322,1179,737
3,325,1183,738
3,328,1186,741
3,331,1189,742
3,334,1189,745
3,337,1192,752
3,340,1197,752
3,343,1201,752
3,346,1203,753
3,349,1207,758
3,352,1210,759
3,355,1213,763
3,358,1217,766
3,361,1220,768
3,364,1223,771
3,367,1225,773
3,370,1234,781
3,373,1236,782
3,376,1239,785
3,379,1241,784
3,382,1247,787
3,385,1243,787
3,388,1240,786
3,391,1239,787
3,394,1241,785
3,397,1243,794
3,400,1242,796
3,403,1245,802
3,406,1250,810
3,409,1256,814
3,412,1259,816
3,415,1261,819
3,418,1265,821
3,421,1270,825
3,424,1273,828
3,427,1279,829
3,430,1288,835
3,433,1295,838
3,436,1302,839
3,439,1310,848
3,442,1317,852
3,445,1324,856
3,448,1326,861
3,451,1333,864
3,454,1342,866
3,457,1347,870
3,460,1360,873
3,463,1369,877
3,466,1374,878
3,469,1381,876
3,472,1387,878
3,475,1393,880
3,478,1397,883
3,481,1403,885
3,484,1408,888
3,487,1415,892
3,490,1421,896
3,493,1432,901
3,496,1436,903
3,499,1440,904
